year,month,units,load,total_services,billed_services,circle_count,division_count,subdivision_count,charging_station_count,latitude,longitude,district_area_sqkm,quarter,year_index,month_of_year,is_first_month,is_last_month,stations_per_sqkm,units_per_station,load_per_station,services_per_station,billed_service_ratio,average_units_per_service,average_load_per_service,average_units_per_billed_service,previous_month_units,previous_month_load,rolling_average_3m,rolling_average_6m,rolling_average_12m,rolling_std_3m,rolling_std_6m,rolling_max_6m,rolling_min_6m,monthly_growth_rate,monthly_load_growth,cumulative_units,cumulative_load
2023,1,600.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,1,2,1,1,0,0.000750004660928049,200.0,35.0,1.0,1.0,200.0,35.0,200.0,,,,,,,,,,,,,
2023,2,566.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,1,2,2,0,0,0.000750004660928049,188.66666666666666,35.0,1.0,1.0,188.66666666666666,35.0,188.66666666666666,600.0,105.0,600.0,600.0,600.0,,,,,-5.666666666666667,0.0,600.0,105.0
2023,3,600.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,1,2,3,0,0,0.000750004660928049,200.0,35.0,1.0,1.0,200.0,35.0,200.0,566.0,105.0,583.0,583.0,583.0,,,,,6.007067137809187,0.0,1166.0,210.0
2023,4,1075.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,2,2,4,0,0,0.000750004660928049,358.3333333333333,35.0,1.0,1.0,358.3333333333333,35.0,358.3333333333333,600.0,105.0,588.6666666666666,588.6666666666666,588.6666666666666,19.629909152447283,,,,79.16666666666667,0.0,1766.0,315.0
2023,5,847.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,2,2,5,0,0,0.000750004660928049,282.3333333333333,35.0,1.0,1.0,282.3333333333333,35.0,282.3333333333333,1075.0,105.0,747.0,710.25,710.25,284.56457966514387,,,,-21.209302325581394,0.0,2841.0,420.0
2023,6,711.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,2,2,6,0,0,0.000750004660928049,237.0,35.0,1.0,1.0,237.0,35.0,237.0,847.0,105.0,840.6666666666666,737.6,737.6,237.56332489113998,,,,-16.05667060212515,0.0,3688.0,525.0
2023,7,804.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,3,2,7,0,0,0.000750004660928049,268.0,35.0,1.0,1.0,268.0,35.0,268.0,711.0,105.0,877.6666666666666,733.1666666666666,733.1666666666666,183.92752195724634,196.8302991580988,1075.0,566.0,13.080168776371307,0.0,4399.0,630.0
2023,8,698.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,3,2,8,0,0,0.000750004660928049,232.66666666666666,35.0,1.0,1.0,232.66666666666666,35.0,232.66666666666666,804.0,105.0,787.3333333333334,767.1666666666666,743.2857142857143,69.51498639382251,186.57911637336764,1075.0,566.0,-13.18407960199005,0.0,5203.0,735.0
2023,9,986.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,3,2,9,0,0,0.000750004660928049,328.6666666666667,35.0,1.0,1.0,328.6666666666667,35.0,328.6666666666667,698.0,105.0,737.6666666666666,789.1666666666666,737.625,57.81291666516515,164.6030578897812,1075.0,600.0,41.260744985673355,0.0,5901.0,840.0
2023,10,987.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,4,2,10,0,0,0.000750004660928049,329.0,35.0,1.0,1.0,329.0,35.0,329.0,986.0,105.0,829.3333333333334,853.5,765.2222222222222,145.66170853499324,150.72989086442007,1075.0,698.0,0.10141987829614604,0.0,6887.0,945.0
2023,11,930.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,4,2,11,0,0,0.000750004660928049,310.0,35.0,1.0,1.0,310.0,35.0,310.0,987.0,105.0,890.3333333333334,838.8333333333334,787.4,166.56630311480566,127.33171901245444,987.0,698.0,-5.775075987841945,0.0,7874.0,1050.0
2023,12,1315.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,4,2,12,0,0,0.000750004660928049,438.3333333333333,35.0,1.0,1.0,438.3333333333333,35.0,438.3333333333333,930.0,105.0,967.6666666666666,852.6666666666666,800.3636363636364,32.62412195497856,132.78805167132563,987.0,698.0,41.39784946236559,0.0,8804.0,1155.0
2024,1,1211.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,1,3,1,0,0,0.000750004660928049,403.6666666666667,35.0,1.0,1.0,403.6666666666667,35.0,403.6666666666667,1315.0,105.0,1077.3333333333333,953.3333333333334,843.25,207.78915595702614,210.25857097076118,1315.0,698.0,-7.908745247148289,0.0,10119.0,1260.0
2024,2,1239.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,1,3,2,0,0,0.000750004660928049,413.0,35.0,1.0,1.0,413.0,35.0,413.0,1211.0,105.0,1152.0,1021.1666666666666,894.1666666666666,199.1657601095128,217.95725880701153,1315.0,698.0,2.3121387283236996,0.0,11330.0,1365.0
2024,3,729.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,1,3,3,0,0,0.000750004660928049,243.0,35.0,1.0,1.0,243.0,35.0,243.0,1239.0,105.0,1255.0,1111.3333333333333,950.25,53.81449618829484,162.33381245651373,1315.0,930.0,-41.16222760290557,0.0,12569.0,1470.0
2024,4,1007.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,2,3,4,0,0,0.000750004660928049,335.6666666666667,35.0,1.0,1.0,335.6666666666667,35.0,335.6666666666667,729.0,105.0,1059.6666666666667,1068.5,961.0,286.7077489942212,224.1532957598436,1315.0,729.0,38.13443072702332,0.0,13298.0,1575.0
2024,5,1162.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,2,3,5,0,0,0.000750004660928049,387.3333333333333,35.0,1.0,1.0,387.3333333333333,35.0,387.3333333333333,1007.0,105.0,991.6666666666666,1071.8333333333333,955.3333333333334,255.34551755089294,222.84381675663917,1315.0,729.0,15.392254220456802,0.0,14305.0,1680.0
2024,6,1419.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,2,3,6,0,0,0.000750004660928049,473.0,35.0,1.0,1.0,473.0,35.0,473.0,1162.0,105.0,966.0,1110.5,981.5833333333334,219.3923426193358,213.2320332407866,1315.0,729.0,22.117039586919105,0.0,15467.0,1785.0
2024,7,694.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,3,3,7,0,0,0.000750004660928049,231.33333333333334,35.0,1.0,1.0,231.33333333333334,35.0,231.33333333333334,1419.0,105.0,1196.0,1127.8333333333333,1040.5833333333333,208.09372888196302,236.17317092901683,1419.0,729.0,-51.092318534179,0.0,16886.0,1890.0
2024,8,1101.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,3,3,8,0,0,0.000750004660928049,367.0,35.0,1.0,1.0,367.0,35.0,367.0,694.0,105.0,1091.6666666666667,1041.6666666666667,1031.4166666666667,367.58173694204856,288.3176488990338,1419.0,694.0,58.64553314121037,0.0,17580.0,1995.0
2024,9,711.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,3,3,9,0,0,0.000750004660928049,237.0,35.0,1.0,1.0,237.0,35.0,237.0,1101.0,105.0,1071.3333333333333,1018.6666666666666,1065.0,363.4093192714427,274.60565665453163,1419.0,694.0,-35.42234332425068,0.0,18681.0,2100.0
2024,10,683.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,4,3,10,0,0,0.000750004660928049,227.66666666666666,35.0,1.0,1.0,227.66666666666666,35.0,227.66666666666666,711.0,105.0,835.3333333333334,1015.6666666666666,1042.0833333333333,230.23104337454936,278.47417594216256,1419.0,694.0,-3.938115330520394,0.0,19392.0,2205.0
2024,11,1086.0,105.0,3,3.0,1,1,1,3,19.519845239095925,78.5658902721029,3999.9751418715546,4,3,11,0,0,0.000750004660928049,362.0,35.0,1.0,1.0,362.0,35.0,362.0,683.0,105.0,831.6666666666666,961.6666666666666,1016.75,233.6692819634914,310.1081531767045,1419.0,683.0,59.004392386530014,0.0,20075.0,2310.0
